num__Air temperature [K],num__Process temperature [K],num__Rotational speed [rpm],num__Torque [Nm],num__Tool wear [min],cat__Type_H,cat__Type_L,cat__Type_M,Machine failure
0.9989135886031064,0.6042816241171917,-0.460607413938203,0.7183047640697756,-0.8439972598086245,0.0,0.0,1.0,0
-1.5051940762914926,-1.1532598401403102,-0.7755739070376335,0.6384558330577823,0.382263078555401,0.0,0.0,1.0,0
0.4980920556241866,1.0774658644942483,-1.0076544809003718,0.5586069020457898,0.46086951050181285,0.0,0.0,1.0,0
-0.5536331636315563,-0.13929361076096888,-0.7092651716482797,1.6265863543311931,-0.37235866813015317,0.0,1.0,0.0,0
-1.4551119229935894,-1.018064342889739,1.0700192279660468,-1.1282017655825582,-0.9068824053657539,0.0,1.0,0.0,0
-0.8541260834188912,-0.7476733483885967,0.9208245733400008,-0.818787157911086,-1.5671764337156138,1.0,0.0,0.0,0
0.347845595730505,0.6718793727424964,-1.5270729081169763,1.2273416992712292,-0.0579329403445056,0.0,0.0,1.0,0
-1.2047011565041295,-0.6800755997632919,-0.6982137157500541,0.019626617714838552,-0.8911611189764717,1.0,0.0,0.0,0
1.9504745012630427,2.159029842498856,0.3793032343269449,0.05955108322083481,-0.45096510007656504,0.0,0.0,1.0,0
-1.354947616397811,-0.9504665942644343,-0.5987506126660234,0.19928671249182206,0.02067349160190629,1.0,0.0,0.0,0
-0.5536331636315563,0.06349963511490707,-0.40535013444707485,0.24919229437431759,1.2469338299659318,0.0,1.0,0.0,0
-1.0544546966104762,-0.9504665942644343,0.8379386541033086,-1.0383717181940662,0.13072249632688293,0.0,1.0,0.0,0
-0.4033867037378747,0.46908612686662055,0.0035537337872734807,-0.36963692096862694,1.0582783932945432,0.0,1.0,0.0,0
-0.8040439301210163,-1.085662091515044,-0.1345894649405469,0.00964550133833931,1.1211635388516727,0.0,1.0,0.0,0
0.19759913583682334,-0.13929361076096888,-0.6540078921571515,0.7183047640697756,-1.6929467248298729,0.0,0.0,1.0,0
-0.6537974702273347,-0.0716958621357025,0.42903478586896027,-0.6990137613930969,1.4984744121944498,0.0,1.0,0.0,0
-1.1546190032062544,-0.8828688456391679,-1.6044330994045557,2.0358121257676562,0.5551972288375071,0.0,1.0,0.0,0
-0.5536331636315563,-0.004098113510397719,0.13617120456598106,-0.6191648303811045,1.1840486844088023,0.0,1.0,0.0,0
-0.9542903900146694,-0.8828688456391679,0.1582741163624323,-0.7089948777695962,-1.535733860937049,0.0,1.0,0.0,0
2.0506388078588493,2.159029842498856,-0.582173428818685,1.0077571389882494,-1.0169314100907305,0.0,1.0,0.0,0
1.2493243550925663,0.7394771213678013,0.17485130020977074,-0.5792403648751074,1.467031839415885,0.0,1.0,0.0,0
-0.4033867037378747,-0.815271097013863,2.0370216190607895,-1.8668043774434917,-0.0579329403445056,1.0,0.0,0.0,0
-0.20305809054628973,0.13109738374017343,-0.3942986785488492,0.798153695081768,-1.5514551473263314,0.0,1.0,0.0,0
